ရဲသာရွာသစ်၊ သားရိုး|yethar ywarthit, tharyoe
ဆောင်အုပ်စု ပေါင်းတည်|Saung Group Paung Tal
ချောင်းခြားရွာ ပေါင်းတလည်|Chaung Char Village Paung Ta Lae
အုပ်စု ၊ ပြည်မြို့နယ်|Group , Pyi Township
သာယာဝတီမြို့နယ်|Tharyarwaddy Township
ဘူတာစုရွာ၊ ငဖြူကလေးအုပ်စု|Butarsu Village
တောင်တွင်းကြီးမြို့နယ်|Taungtwingyi Township
ကျောင်းကုန်းကျေးရွာ ၊|Kyaungkone Village ,
ကွက်၊ ကျောက်ဖြုမြို့|Kwat, Kyaukphyu City
ကုလာဘာတောင်ရပ်|Kulaba Taung Yat
ပခုက္ကူမြို့နယ်|Pakokku Township
ကျွဲတဲအုပ်စု၊ စိုတွင်းရွာ|Kwaltel Group, Sotwin Village
ဥတ္တရသီရိမြို့နယ်|Ottayathiri Township 
ပယနတပ်|PaYaNa Tat
ပြင်ဦးလွင်မြို့|Pyinoolwin City
ဇီးပင်ကြီးကျေးရွာ|Zeepingyi Village
ကျုံပျော်မြို့နယ်|Kyonpyaw Township
ကန်သုံးဆင့်ရွာ|Kan Thone Sint Village
စွန်ရဲ (တ) ရွာ၊ စဥ့်ကိုင်|Sonye (Ta) Village, Sintgaing
၇ခ၊၁၄၁ လမ်း၊ ပုဏ္ဏား|7 Kha, 141st street, Pone Nar
ကုန်းရပ်ကွက်၊ တာမွေ|Kone Ward, Tar Mwae
ညောင်ချောင်း၊ ထိတန်|Nyaung Chaung, Hti Tan
အုပ်စု၊ ဝါးခယ်မြို့|Group, War Kal Ma City
သိုက်တူးကုန်းရွာ|Thike Tuu Kone Village
ပိုင်/ပျဉ်ရေအုပ်စု၊ ရွှေကျင်မြို့နယ်|Paing/Pyin Yay Group, Shwe Kyin Township
၃၃၂/ဗိုလ်သုန်လမ်း၊၅၁|332/ Bo Thone Street, 51
ရပ်ကွက်၊ ဒဂုံ (မြောက်) မြို့နယ်|Ward, Dagon (North) Township
စလင်းမြို့နယ်|Sa Lin Township
တလင်းကြီးကုန်းရွာ|Ta Lin gyi kone Village
ငါးဖယ်အင်းရွာ ၊|Ngar Phal Inn Village ,
တောင်ငူမြို့|Taung Ngoo City
ကြာဖူးငုံရွာ ၊ကြာဖူးငုံ|Kyar Photo Ngone village,Kyar Photo Ngone
လက်ပံအုပ်စု ၊‌မြောင်မြို့နယ်|Latt Pan Group,Myaung Township
အလံပ္ပါယ်ရွာ|ALanPal Village
မင်းဘူးမြို့ ။|MinBu City .
ဝဲရတ်ကျေးရွာ ၊|WaeYat Village ,
သံဖြူဇရပ်မြို့နယ် ။|ThanPhyuZaYat Township .
အုံးကွဲရွာ|Ohm Koe Village
အုံးကွဲအုပ်စု|Oak Koe Group
ကျုံကူးရွာ၊အုပ်စု|Khone Ku Village, Group
ဟိုင်းကြီးကျွန်းမြို့နယ်ခွဲ|Haine Gyi KoonSub-township 
မကျီးကုန်းအပြင်လမ်း ၊ န/သပြေ |Ma Kyee Kone Apyin Street, Na/ Tha Pyay
ကုန်းရပ်ကွက်၊ သာယာဝတီမြို့နယ်|Kone Ward, Tharyar Waddy Township 
ဝါးတောကြီးရွာ |War Taw Gyi Village
ရေတာရှည်မြို့နယ်|Yay Tar Shay Township 
ဝက်ကိုက်ကျေးရွာ |Wek Kite Village
ကွမ်းခြံကုန်းမြို့နယ် |Koon Chan Kone Township 
ကလိုင်း ကနိုင်ရွာ |Ka Line Ka Naing Village 
ကျိုက်မရော မြို့နယ်|Kyaik Ma Yaw Township 
သက်ကယ်ကုန်းရွာ ၊|Thet Kel Kone Village ,
မိုင်းပျိုးအုပ်စု၊ ညောင်ရွှေမြို့ |Mine Pyoe Group, Nyaung Shwe City 
ကြက်သွန်ခင်း (၂) ရပ် |Kyat Thon Khin 2 Yat 
အုတ်တွင်းမြို့|Oak Twin City
မြစ်ဆုံကျေးရွာ|Myit Sone Village
အင်ဂျန်းငဝန်မြို့|Ingan Ngawon City
ထန်းတောရွာ၊ပွင့်ဖြူ|Htan Taw Village, Pwint Phyu
တောင်ဦးရွာ၊မင်းလှမြို့|Taung Oo Village,Min Hla City
မကွေးတိုင်းဒေသကြီး|Ma Gway Region
ရာမည(၆)လမ်း၊ ရပ်ကွက်|YarMaNya(6)Street, Ward
(၇)၊ ပုသိမ်မြို့|(7), Pathein City
ဂေးရုကျေးရွာ၊ ဖျာပုံမြို့|GayRu Village, PhyarPone City
အောင်းကုန်းရွာ/အုပ်|OungKone Village/Oak
စု၊ လယ်ဝေးမြို့|Su, Laiwai City
ဘောက်သီးစုရပ်ကွက်|BoutTheeSu Ward
စစ်တွေမြို့|Sittwe City
ထောက်ကြန့်ရွာ/အုပ်စု|HtoutKyant Village/Group
မင်းလှမြို့နယ်|MinHla Township
လွှမ်းစုရွာ၊ လက်ပံ|HlwanSu Village, LatPan
ဇင်ကုန်းအုပ်စု, ဓနုဖြူမြို့|ZinKone Group, Da Nu Phyu City
အရှေ့စုရွာ၊ မဲဇလီဦးတို|AShaySu Village, Ma lZa Li OoToe
အုပ်စု၊ မော်လမြိုင်ကျွန်း|Group, Maw La Myaing Kyun
ရွှေပန်းကုန်းကျေးရွာ|Shwe Pan Kone Village
ဝက်လက်မြို့နယ်|WatLat Township
ကော့ပြင်ကျေးရွာ|KortPyin Village
ကျောက်ကြီးမြို့နယ်|KyoukGyi Township
ပြားချောင်းကျေးရွာ|MinChaung Village,
မင်းပြားမြို့နယ်|MinPyar Township
ပုပ္ပါးကျေးရွာ|popa village
ကော့မှူး|kokmu
အနိုင်းပွန်ကျေးရွာ|ah naing pon village
ဘီးလင်းမြို့နယ်|bilin township
န.ပ.ဆ ခွဲ (၁) ရဲမွန်၊|na.pa.sa khawl(1) yemon,
လှည်းကူးမြို့နယ်။|hlegu township.
စိန်ပန်းရွာ၊ ဝက်ဝံအုပ်စု|seinpann village,  wetwun group
ပြင်ဦးလွင်မြို့|pyinoolwin city
မြောက်ဇီးကုန်းရွာ၊ မြောက်ဇီး|myouk zee kone village, myouk zee
ကုန်းအုပ်စု၊ စလင်းမြို့|kone group, salin city
၅၂၊ အိုးဘို ရွှေကျင်|52, oebo shwekyin
အောင်မြေသာစံမြို့နယ်၊ မန္တလေးမြို့|aung myay tharsan township, mandalay city
ကိုးပင်ရွာ|koepin village
ဆင်ပေါင်ဝဲမြို့နယ်|sin paung wel township
ဆင်ကန်ရပ်ကွက်|sinkan ward
ကျောက်တန်းမြို့|kyauktan city
သာလွန်ရွာ|tharlon village
မြစ်သားမြို့နယ်|myitthar township
ရွာသစ်ရွာ|ywarthit village
ပျော်ဘွယ်မြို့နယ်|pyawbwe township
ဝါးခင်းကြီးရွာ ၊ညောင်ဦး|War Khin Gyi y,Nyaung Oo
မြို့နယ်|Township
တောင်ပိုင်းရပ်ကွက်|Taung Pine Ward
ဖားဆောင်းမြို့|phar Saung City
ဟွှေးရွာ ၊ရပ်စောက်မြို့|Hway Village,Yay Saut City
အဝကောက်ကျေးရွာ|Awa Kyauk Village
ကျောက်တန်းမြို့နယ်|Kyauk Tan Township
သရော်ကုန်ရွာ|Tha Yaw Kone Village
မင်းလှမြို့|Minn Hla City
ပိတောက်မြိုင်ရပ်|Padauk Myaing Yat
စေတုတ္တရာမြို့|Saytote tayar City
၁၅၆/၃၅၅ ၊ဓမ္မလောက|156/355,Dama Law Ka
လမ်း ၊ဒဂုံရှေ့မြို့နယ်|Street,Dragon Shae Township
စွယ်ရရွာ|Swal Ya Village
ကောလင်းမြို့|Kall Lin City
၁၂/A,  ဗဟိုလ်လမ်း|12/A,Baho Street,
ရွှေတောင်ရပ်ကွက် ၊မော်လမြိုင်မြို့|Shwe Taung Ward, MawLaMyaing city
ဝဲကျွန်းရွာ|WalKyun Village
ကျွန်းစုမြို့နယ်|KyunSu Township
သနဝရွာ၊ ကျစ်ကိုင်း|ThaNaWa Village, KyitKaing
ပွင့်ဖြူမြို့နယ်|Pwint Phyu Township
ညောင်ကွေ၊ ပိုင်ခွန်နန်|NyaungKway, PaingKhonNan
ဓနုဖြူမြို့|DanuPhyu City
မြေပုံကန်ရွာ|MyayPoneKan Village
မတ္တရာမြို့နယ်|Mattayar Township
မြို့ပတ်လမ်း၊ နယ်မြေ|MyoePat Street, NalMyay
(၉)၊ ရွာမအနောက်၊ အင်းစိန်|(9), YwarMa West, Innsein
ရေကျော်ရွာ|YayKyaw Village
မြိုင်ကလေးအုပ်စု၊ ဘားအံမြို့နယ်|MyineKaLay Group, Hpa-An Township
ရိုးရွာ|Yoe Village
ဝမ်းတွင်းမြို့နယ်|WanTwin Township
ကွမ်းခြံကုန်းရွာ၊ကြာ|KunChanKone Village, Kyar
ကန်အုပ်စု၊ရေကြည်မြို့နယ်|Kan Group, YayKyi Township
ညိုတန်းရပ်ကွက်|Myo Tann Ward
အင်းဝလမ်း ၊ မိုး|Innwa Street , Moe
ပဒတ်ချောင်းစု|Padat Chaung Su
သရက်ချောင်းမြို့နယ်|Thayet Chaung Township 
မြို့မ /မြောက်|Myoma / North 
ညောင်ဦးမြို့နယ်|Nyaung Oo Township 
ဝနိုင်ယာရွာ ၊ရွာငံမြို့|Wanaing Yar Village , Ywar ngan City 
ကျုံစုတ်အုပ်စု|Kyonsote Group
မအူပင်|Maubin
ငဝန်ဧရာလမ်း ၊အမှတ်(၃)|Ngawun Ayar Street ,No(3)
ရပ်ကွက် ၊အင်္ဂပူမြို့နယ်|Ward ,Ingapu Township 
ဆေးတလုံးအုပ်စု ၊|Saytalone Group ,
ဆေးတလုံးရွာ ၊ ပြင်ဦးလွင်မြို့|Saytalone Village ,Pyin Oo Lwin City 
စန္ဒယော်ကျေးရွာ|Sandayaw Village
ထန်းတပင်မြို့နယ်|Htantapin Township 
၅ ရပ်ကွက် ၊ သုံးခွမြို့|5 Ward ,Thonegwa City 
ရပ်ကွက် (၅) အေးသာယာ|Ward (5) Ayetharyar
တောင်ကြီးမြို့|Taunggyi City 
ခလပ်စုကျေးရွာ|KaLatSu Village
သနပ်ပင်မြို့နယ်|ThaNatPin Township
တောင်ပိုင်းရပ်ကွက်|South Ward
ကော့မှူးမြို့နယ်|KoutHmue Township
ကျောက်ကုန်း၊ ဖွကြီးအုပ်စု|KyoukKone, PweGyi Group
မှော်ဘီမြို့|Mhaw bi city
ကပ်ခိုကျေးရွာ/|KatKho Village/
မော်လမြိုင်ကျွန်းမြို့နယ်|MawLaMyaingKyun Township
သိကြားကုန်း၊ (၇)|ThaKyarKone, (7)
ရပ်ကွက်၊ လပွတ္တာ|Ward, LatPutTar
ကြာကန်ရွာ၊ ကွက်ငယ်|KyarKan Village, KwatNge
အုပ်စု၊ မိတ္ထီလာမြို့နယ်|Group, Meikhtella township
နွမ်းနီးယားကျေးရွာ|Nwan NiYar Village
ကျောက်တံခါးမြို့နယ်|KyaukTaGar Township
ဒရယ်ချိုကျေးရွာ၊ ထိန်|DayalCho Village, Htain
ကျွန်းအုပ်စု၊ ကျိုက်|Kyun Group, Kyike
လတ်မြို့|Lat City
ကုန်းဇောင်း(ရွာသစ်)|KoneZaung (New Village)
ပွင်ဖြူမြို့|PwintPhyu City
တောင်စွန်းကျေးရွာ|TaungSoon Village
ဘီးလင်းမြို့နယ်|BeLin Township
ကန်ရွာ|kan village
တောင်သာမြို့နယ်|taungthar township
အောင်သာယာရွာ|aung thar yar village
ရသေ့တောင်မြို့နယ်|ya the daung township
သာယာအေးကျေးရွာ|tharyaraye village
တပ်ကုန်းမြို့|tatkon city
သာယာအေးကျေးရွာ|tharyaraye village
တပ်ကုန်းမြို့|tatkon city
ထင်းရူးရွာ|htin shu village
သံဖြူဇရပ်မြို့|than phyu zayat city
လှည်းကူး|hlegu
စခတ ၁၊ မင်းကုန်း|SaKhaTa1 minkone
ငါးခြံကာကျေးရွာ|ngar chan kar village
တောင်တွင်းကြီးမြို့နယ်|taung twin gyi township
မင်းဇေယျာရပ်|minzayyar ward
အင်းတော်မြို့|intaw city
အပေါက်ဝကျေးရွာ|ahpaukwa village
ကျောက်တော်မြို့နယ်|kyauktaw township
သရက်ငူ၊ မလက်တို|thayetngu, malatto
အုပ်စု၊ မအူပင်မြို့|group, maubin city
သီလှရင်စုရပ်|ThiHlaYinSu Yat
ညောင်ဦးမြို့|Nyaung Oo City
ခမရ(၃၅၂)တပ်ရင်း|KhaMaYa(352) TatYin
ဘူးသီးတောင်|BuTheeTaung
ရွာသာယာ(၂)လမ်း|YwarTharYar(2) Street
မရမ်းကုန်းရပ်ကွက်|MaYanKone Ward
မကြီးကန်ရွာ|MaGyiKan Village
မကွေးမြို့နယ်|Magway Township
အပတ(၂) မိုင်းမော|APaTa(2)MineMaw 
မြစ်သားမြို့နယ်|MyitThar Township
အင်းတိုင် (၃)ရပ်ကွက်|Inn Taing (3) Ward
လှည်းကူးမြို့နယ်|Hlage Kuu Township
ဖောင်ကြီး(အနောက်)|Phoung Gyi (West stand)
ကျေးရွာ၊လှည်းကူးမြို့နယ်|Village, Hlage Kuu Township
ဆိပ်ကမ်းသာ သိမ်ဇ|SateKanThar , TheinZa
ရပ်၊ ကျိုက်ထို|Yat, KyikeHto
ရွာမအရှေ့|YwarMa East
မြစ်သားမြို့|MyitThar City
တကုန်းကြီးကျေးရွာ|TaKoneGyi Village
ကန်ကြီးထောင့်မြို့|KanGyiHtaunt City
အသုတ်၊ရေကြည်မြို့|AThote, YayKyi Township
သစ်ခေါင်းကြီးရွာ|Thit Kaung Kyi Village
ဘွတ်ကုန်းအုပ်စု တိုက်ကြီးမြို့|Book Kone Group Tike Kyi City
ကွင်းလယ်စု ကွင်းခြောက်|Kune Lae Su Kune Chauk
အုပ်စု ကျုံပျော်မြို့|Group Kyone Pyaw City
ဂုဏ်ရွာကျေးရွာ|Gone Ywar Village
၀မ်းတွင်းမြို့နယ်|Wan Twin Township
ကော့ကရင်ရွာ ပေါင်မြို့|Kawt Kayin Village Paung City
ကျောက်တလုံးရွာ|Kyauk Ta Lone Village
ငါန်းဇွန်မြို့နယ်|NganZun Township
ကျပင်း(တ) ရွာ|Kya Pin (Ta) Village
စလင်းမြို့|Salin City
နှတ်ရွာ မော်လမြိုင်|Hnat Village Mawlamyaing
ကွမ်တာ ကော့|Kwan Tar Kaut
သကထ-၃၀၂၆ နန်းတွင်း|Tha Ka Hta-3026 Nan Twin
အောင်မြေသာစံ|Aung Myay Thar San
အမှတ်(၁၃) ရန်အောင်လမ်း|No (13) Yan Aung Street
ပခုက္ကူမြို့|Pakokku City
အလယ်ကုန်းကျေးရွာ|Alal Kone Village 
ကျောက်တံခါးမြို့နယ်|Kyautakhar Township 
အေးချမ်းသာယာရပ်ကွက်|Ayechan Thayar Ward 
ဝေါ|Waw
တောင်ပိုင်း အင်္ဂပို|Taungpai Ingapo
အုပ်စု ဟင်္သာတမြို့|Group Hinthada City 
မုံပင်ဆုံကျေးရွာ|Monepinsone Village 
သာစည်မြို့နယ်|Tharsi Township
ဇောင်းယားပင်ဆိပ်|Zaung yarpin sate 
(၃) လမ်း မြောင်းမြမြို့နယ်|(3) Street Myaungmya Township 
စက်စုကျေးရွာ|Satsu Village 
ကော့မှုးမြို့နယ်|Kawmhu Township 
ရဇင်ပင်သာရွာ|Yazin Pintgar Village 
ရပ်စောက်မြို့|Yatsout City 
လယ်ကြီးရွာ|Lalgyi Village
ဂန့်‌ဂေါမြို့နယ်|Gant Gaw Township
ကျွန်းကလေးကျေးရွာ|Kyun Kalay Village 
လှည်းကူးမြို့နယ်|Hlaeku Township 
တိုက်ခွန်ရွာ|Tike Koon Village
တိုက်အင်းအုပ်စု|Tike Inn Group
ကသစ်ပိုင်း|Ka Thit Pin 
သနပ်ပင်မြို့|Tha Nat Pin City
ထုန်းဆုံရွာ|Hton Son Village
ဖယ်ခုံ​မြို့နယ်|Phae Kon Township
အမှတ် ၈ ရပ်ကွက်|No 8 Ward
ရွှေဘိုမြို့|Shwe Bo Township
အောင်ရတနာလမ်း၊သာဇီရပ်ကွက်|Aung Yadanar Street, Thar Zi Ward
နတ်တလင်းမြို့|Nat Ta Lin City
သာယာကုန်းရွာ|Thar Yar Kone Village
ငဖဲမြို့နယ်|Nga Phae City
တောင်ကုန်းရပ်ကွက်|Taung Kone Ward 
သနပ်ပင်မြို့ |Tha Nat Pin City 
တစ်ရာ့နှစ်ဆယ်ရွာ |Ta Yar Na Sel Village 
အုတ်တွင်းမြို့နယ်|Oak Twin Township 
သမိန်ဒွတ်ကျေးရွာ |Tha Main Dook Village
ကော့ကရိတ်မြို့နယ်|Kawt Ka Yate Township 
သင်္ဃန်းဒေါင့်ကျေးရွာ |Thingan Daung Village
သင်္ဃန်းဒေါင့်အုပ်စု၊ ရေကြည်မြို့နယ် |Thingan Daung Group, Yay Kyi Township 
ပန်းတင်(၂)လမ်း|Pann Tin 2 Street
ပန်းတင်ရပ်ကွက် ၊ကြို့ပင်ကောက်မြို့|Pann Tin Ward,Kyoe Pin Kauk City
ရွှေလှေရွာ|Shwe Hlay Village
ရသစ်ကျေးရွာ|YaThit Village
တောင်သာမြို့နယ်|Taung Thar Township
အောက်ရွာ|Out Village
အမ်းမြို့နယ်|Ann Township
ကံဆင့်ရွာ|Kan Sint Village
တောင်သာမြို့နယ်|Taung Thar Township
ကံကွင်းကျေးရွာ|Kan Kwin Village
ဝါးခယ်မမြို့နယ်|War Khal Ma Township
လျှော်ပင် ၊ရွာတန်းအုပ်စု|Shaw Pin ,Ywar Tan Group
ဝမ်းတွင်းမြို့နယ်|Wan Twin Township
နယ်မြေ (၁၂)|Nal Myay (12)
မလှိုင်မြို့|Ma Hlaing City
တောညောင်ပင်သာရွာ|Tawnyaungpinthar village
ဆင်ပေါင်ဝဲမြို့နယ်|Sinpaungwae township
ဆင်သေကွေ့ကျေးရွာ|Sinthay Kway Village
ဝမ်းတွင်းမြို့နယ်|WuntwinTownship
လိပ်ချောင်းရွာ အိက္ကဒတ်|Latechaung Village Atekadat
အုပ်စု ကျုံပျော်မြို့နယ်|Group Kyonpyaw Township
ကွင်ယား တံခွန်တိုင်|Kwin Yar Tankhon Tai
ကျေးရွာ အိမ်မဲမြို့|Village Eainmae City 
ဖက်တောကျေးရွာ|Phataw Village 
တောင်သာမြို့နယ်|Taungthar Township 
လှေကြီးအိုင် မဲဇလီကုန်း|Hlaygyi I mezalegon
အင်္ဂပူမြို့နယ်|Ingapu township 
ကျွဲခြံဒေါင့်ကြီး|Kywechan douk gyi
ကျုံပျော်မြို့|Kyonpyaw city 
ကျီတော်ကျေးရွာ၊|Kyitaw village ,
ထန်းတပင်မြို့နယ်|Htantapin township 
မိုးခိုင်ကြီး|moekhainggyi
သနပ်ပင်|thanatpin
ဒရယ်ဘိုကျေးရွာ|Dayabo village 
လှည်းကူးမြို့နယ်|Hlegu Township 
ကျွဲချို ကမ္ဘာနီကျေးရွာ|KwyalCho, KaBarNi Village
ဗန်းမော်မြို့နယ်|BaMhaw Township
ကြာဘက်ကုန်းရွာ|KyarBatKone Village
သာစည်မြို့နယ်|TharSe Township
အမှတ် ၂၄၇၇၊ က ၇၁ရပ်|No 2477, Ka 71 Yat
ကွက်၊ ကနောင်မင်းကြီး(၁)လမ်း|Kwat, KaNaung MinGyi(1) Street
ဒဂုံတောင်|DagonSouth
ကသစ်ပင်ကျေးရွာ|KaThitPin Village
ကဝမြို့နယ်|KaWa Township
နားအွန်၊ နားယောင်း|NarOn, NarYaung
အုပ်စု၊ တာလေ|Group, TarLay
နိပဆေးတောရွာ|NiPaSayTaw Village
ရေစကြိုမြို့နယ်|YaySaKyo Township
လမ်းမတော်လမ်း|Lanmataw Street
ငါးသိုင်းချောင်းမြို့၊ ရေကြည်မြို့နယ်|NgarThaingChaung City, YayKyi Township
ဟောင်လိတ်ရွာ၊ နမ့်တွန်|HongLate Village, NantTon
အုပ်စု၊လားရှိုးမြို့|Group, Larshio City
လယ်တီရွာ၊ကျုံကြီးအုပ်စု|LalTi Village, KyoneGyi Group
ကန်ကြီးထောင့်မြို့နယ်|KanGyiHtaunt Township
တပွတ်ကျေးရွာ|TaPut Village
ဒေးဒရဲမြို့နယ်|DaeDaYe Township
စ အ ရ (၉၁၄)|Sa ah ya (914)
ဗန်းမော်မြို့|bamaw city
သပြေတန်းရွာမ|thaphaytan ywarma
ကျိုက်လတ်မြို့|kyikelat city
ဒုံအုံးရပ်ကွက်|dinohn ward
ကျောက်တလုံးကြီးမြို့နယ်ခွဲ|kyauktalonegyi Sub-township
၃၀၄(ခ)၊ ဦးအောင်ဇေယျ|304(kha), uaungzayya
(၅)လမ်း၊ တပင်ရွှေထီး|(5)street, tapihshwehtee 
ဇုတ်သုတ်ကျေးရွာ|zoatthoat village
ဘီးလင်းမြို့နယ်|bilin township
ချောင်းကျိုးရွာ|chaungkyoe village
ရွှေကူမြို့နယ်|shweku township
သံဘိုကျေးရွာ|thanbo village
ကျောက်ကြီးမြို့နယ်|kyaukgyi township
စံပြရွာ၊ ကွင်းကောက်|sanpya village, kwinkauk
(တ)အုပ်စု၊ အင်္ဂပူမြို့နယ်|(ta)group, ingapu township
သစ်စက်ဝန်း/ကုန်းပြင်|thitsatwun/ konepyin
အုပ်စု၊ ရေကြည်မြို့နယ်|group, yekyi township
မင်းမြေကျေးရွာ|minmyay village
ပွင့်ဖြူမြို့နယ်|pwintphyu township
နမ(၃) တောင်နီရွာ|Na Ma (3) Taung Ni Village
မိုင်းသော်အရှေ့အုပ်စု တောင်ကြီး|Mine Thaw East Group Taunggyi
အစုကြီးကျေးရွာ ဒေါင်|A Su Kyi Village Daung
ကြီးအုပ်စု ကျောင်းကုန်း|Kyi Group Kyone Kone
ရွာသစ်ရွာ တောင်ဒီးအုပ်စု|Ywar Thit Village Taung Dee Group
မြောင်းမြမြို့|Myaung Mya City
ကျောက်ပန်းတောင်း|Kyauk Pan Taung
အောင်လံမြို့နယ်|Aung Lan Township
ပေကုန်းရွာ ငါ့းကယ်အုပ်စု|Pay Kone Village Ngar Kal Group
မိုးညိုမြို့|Moe Nyo City
ပိတ္တောရွာ ရွှေဘိုမြို့|Pate Taw Village Shwe Bo Myoe
နယ်|Nae
စံရွေးအုပ်စု|San Yway Group
သာယာ၀တီမြို့|Thar Yar Wati City
ကဘီးကျေးရွာ|Ka Bee Village
ကျောက်တန်းမြို့နယ်|Kyauk Tan Township
ခမရ(၂)|Kha Ma Ya (2)
ကျိုက်ထိုမြို့|Kyite Hto City
၁၃၈၇/နဝရတ်ကိုးသွယ်|1387/Narat Koe Thwal
၅၆ရပ်ကွက် ဒဂုံမြို့သစ် (တောင်ပိုင်း) |56Ward Dagon Myothit (South)
မြို့နယ်|Township 
ကုန်းသာရွာ ကျိုးသာ|Konethar Village Kyoethar
အုပ်စု မြောင်းမြမြို့|Group Myaungmya City 
ဗိုလ်ရန်ပြေရပ်ကွက်|Bo Yan Pyay Ward
ဒလမြို့|Dala City 
ရေပုတ်/မြောက်ကုန်း|Yaypoke Myaukone
ဂန့်‌ဂေါမြို့|Gant Gaw City 
စာဖြူစုရွာ ပါလှဲ့အုပ်စု|Sarphyusu Village  Parhlae Group 
ညောင်တုန်းမြို့|Nyaung Tone City 
ငပု‌တောမြို့နယ်|Ngaputaw Township 
သမာဒေဝကျေးရွာ|Thamar Daywa Village 
အောင်ပန်းချောင်းရွာ|Aungpan Chaung Village 
ရေစကြိုမြို့နယ်|Yaysakyo Township 
ဇရပ်ကြီးကျေးရွာ|Zayat Gyi Village 
ထန်းတပင်မြို့နယ်|Htantapin Township 
၁၄/၂၃/၁၆၀၉|14/23/1609
ရွှေပြည်သာမြို့|Shwepyithar City 
လက်ခုပ်ပင်ရွာ ကိုင်းတော|Latkhote Pin Village Kinetaw 
မအုပ်စု မြိုင်မြို့နယ်|Ma Group Myaing Township 
ရေဆိုင်အုပ်စု၊ လပွတ္တာ|Yesai Group, Laputta
အတွင်းရေဆိုင်ရွာ၊|Atwin Yesai Village,
ဒိုက်ဦးမြို့နယ်|Daik-U Township
ဘုရားကြီးကွင်းရွာ|Bayagyi Kwin Village
တောင်ကုတ်မြို့နယ်|Taunggoke Township
မှိုဟင်းတောရွာ၊|Mho Hintaw Village,
ကော့ကရိတ်မြို့နယ်|Kawkareik Township 
ရေကျော်ကြီးရွာ|Yekyawgyi Village
လမ်း၊ သရက်မြို့|Street, Thayat City
စျေးရပ်ကွက်၊ ပရိက္ခရာ|Zay Ward, Pareikaya
ကျေးရွာ၊ အုတ်တွင်းမြို့|Village, Oketwin City
ဇီးဖြူသောင်အထွက်|Zeephyu Taung Ahtwet
အုပ်စု၊ ပေါင်းတည်မြို့|Group, Paungde City
သစ်ပုတ်ရွာ၊ သစ်ပုတ်|Thitpote Village, Thitpote
မြင်းခြံမြို့နယ်|Myingyan Township
နဘူးအိုင်ကျေးရွာ|Nabuai Village
ကွက်၊ ဒလမြို့|kwat, Dala City
သမတကမ်းခြေရပ်|Thamada Kan Chay Yat
မြွေပုံကန်ရွာ|Mway Pon Kan Village
မတ္တရာမြို့နယ်|Mattayar Township
မိုးဒိုင်းရပ်ကွက်|Moe Daing Ward
ပေါင်မြို့|Paung City
ခေါင်ရမ်းရွာ|Khaung Yan Village
အုတ်တွင်းမြို့နယ်|Oak Twin Township
မင်းစံရပ်ကွက်|Min San Ward
စစ်တွေမြို့|Sit tway City
ရ.က.က(၉)|Ya Ka Ka (9)
ပြင်ဦးလွင်မြို့|Pyin Oo Lwin City
ကိုင်းတောကြီးရွာ|Kai Taw Gyi Village
မင်းဘူးမြို့နယ်|Minbu Township
(၁၄)၊ တနင်္သာရီ|(14) Tanintharyi
လမ်း၊ ဘိုကုန်းရပ်၊ မော်လမြိုင်|Street, Bo Kone Yat, Mawlamyaing
ထန်းကုန်းရွာ၊|Htan Kone Village
ကညင်ကောက်အုပ်စု၊ ဟင်္သာတမြို့|Ka Nyin Kauk Group, Hinthada Myo
နယ်|Nal
ပန်နောင်ကျေးရွာ၊|Pan Naung Village
မိုးမောက်မြို့|Moe Mauk City
သဲတွင်းရွာ|Thae Twin Village
ကြို့ပင်ကောက်မြို့နယ်|Kyo Pin Kauk Township
ဂန့်ဂေါမြို့နယ်|Gant gaw township
သာသင်းရွာ|Thar thin village
တောင်ငူမြို့|Taungoo City
၂၁ရပ်ကွက်|21 ward
မြို့မရပ်ကွက် ငါးသိုင်းချောင်းမြို့|Myoe ma ward ngar thie choug city
ရွှေတောင်လမ်း|Shwe taung street
ပျော်ဘွယ်မြို့နယ်|Pyaw bwe Township
တ/ညောင်ကုန်းရွာ|Ta/nyoung kone village
ကျောက်ဆည်မြို့|Kyouk sel City
အရောင်းရွာ|A young village
ဘိုကလေး|Bo kalay
တပ်မဲ့ သပြေကုန်းအုပ်စု|Tat mae tha pyay kone group
ကျောက်ထပ်ရွာ|Kyouk htet village
ကုန်းပြင်အုပ်စု၊အင်္ဂပူမြို့နယ်|Kone pyin group,Inga pu Township
ပြင်ဖြူမော်ရွာ၊အုပ်စု|Pyin Phyu maw village,group
ကျောက်ဖြူမြို့နယ်|Kyouk phyu Townshp
ထန်းဆယ်ပင်ရွာ|Htan Sal Pin Village
ရေစကြိုမြို့နယ်|Yay Sa Kyo Township
မြို့မရပ် ၊မိုးညိုမြို့|Myo Ma Ward,Moe Nyo City
မဟော်ဂနီလမ်း|Ma Haw GA Ni Street,
ရေဟင်္သာရွာ ၊ ကန်သာအုပ်|Shwe Hinthada Village, Kan Thar 
စု ၊ လယ်ဝေးမြို့နယ်|Group,Lae Wae Township
ပေါက်ကုန်းရွာ ၊နွယ်ခွေ|Pauk Kone Village,Nwe Khway
အုပ်စု ၊ဟင်္သာတမြို့|Group, Hinthada City
မ/ဇ ချမ်းကုန်းရွာ|Ma/Za Chan Kone Village
